enrollee_id,target
8949,1.0
29725,0.0
11561,0.0
33241,1.0
666,0.0
21651,1.0
28806,0.0
402,1.0
27107,1.0
699,0.0
29452,1.0
23853,0.0
25619,0.0
5826,0.0
8722,0.0
6588,0.0
4167,0.0
5764,0.0
2156,1.0
11399,1.0
31972,0.0
19061,0.0
6491,0.0
7041,0.0
22767,0.0
14505,0.0
17139,1.0
28476,0.0
21538,1.0
10408,1.0
14928,0.0
22293,0.0
4324,0.0
26966,0.0
26494,0.0
4866,0.0
12726,0.0
10164,1.0
8612,0.0
24659,0.0
2547,0.0
13854,0.0
31654,1.0
13643,0.0
5590,1.0
22452,1.0
9006,1.0
25987,1.0
4476,1.0
25103,0.0
5568,1.0
2195,0.0
30533,0.0
28512,0.0
1023,0.0
12253,0.0
25296,0.0
13238,0.0
13478,1.0
18578,1.0
29975,0.0
26516,0.0
24690,0.0
8433,0.0
9572,0.0
5878,1.0
25695,0.0
9645,0.0
12730,0.0
4830,1.0
20970,0.0
17271,1.0
12731,0.0
10908,0.0
29117,0.0
3686,0.0
22683,0.0
22134,0.0
31765,0.0
31449,0.0
5987,0.0
21762,0.0
22070,0.0
25413,0.0
5902,0.0
28403,0.0
30937,0.0
28751,0.0
29290,0.0
32401,0.0
19128,0.0
29036,0.0
16869,1.0
10497,1.0
18099,0.0
12081,0.0
7364,0.0
11184,0.0
7016,1.0
8695,1.0
6172,1.0
14672,0.0
18257,0.0
24493,0.0
1180,0.0
28627,0.0
8168,0.0
10473,1.0
25349,0.0
5220,0.0
4789,0.0
11338,0.0
27963,1.0
8571,0.0
16303,0.0
20576,0.0
32966,1.0
21199,0.0
18819,0.0
14199,0.0
7666,0.0
13915,1.0
10555,0.0
16040,0.0
32826,0.0
13253,0.0
15637,0.0
28074,0.0
23012,0.0
16110,1.0
3921,0.0
24530,0.0
1924,0.0
32776,0.0
1907,0.0
23947,0.0
3116,0.0
24829,1.0
30488,0.0
1265,0.0
22098,1.0
13342,0.0
24608,0.0
20081,0.0
24796,0.0
7777,0.0
22718,0.0
1261,1.0
3396,0.0
4283,0.0
18998,0.0
2003,1.0
31786,0.0
8241,0.0
12154,0.0
23455,1.0
19882,0.0
28817,1.0
4656,0.0
7280,0.0
16903,0.0
13333,0.0
26241,0.0
12381,0.0
4064,1.0
32092,0.0
3766,0.0
30496,0.0
7189,0.0
29497,1.0
31593,0.0
12384,0.0
11986,0.0
31033,0.0
14835,0.0
3728,0.0
3024,0.0
23508,0.0
29457,0.0
12297,0.0
27708,1.0
3065,0.0
29226,0.0
5493,0.0
2891,0.0
32509,0.0
31841,1.0
907,0.0
29526,1.0
10956,0.0
26099,0.0
26163,0.0
4120,1.0
7335,0.0
706,0.0
9890,0.0
32683,0.0
27104,0.0
7731,0.0
31943,0.0
22899,1.0
33339,0.0
20866,0.0
21634,0.0
29529,1.0
4478,1.0
32095,0.0
18272,1.0
30098,0.0
23825,0.0
7672,1.0
5633,0.0
30695,0.0
5573,0.0
24936,0.0
397,0.0
31602,0.0
5278,0.0
16814,0.0
19249,0.0
9475,0.0
4865,0.0
20881,0.0
21563,0.0
25114,0.0
26002,1.0
8528,0.0
6141,0.0
27667,0.0
2821,0.0
21216,0.0
25495,0.0
20791,1.0
28015,0.0
10685,0.0
405,0.0
13891,0.0
33050,0.0
399,0.0
8202,1.0
8751,0.0
20744,0.0
25380,0.0
24617,0.0
12509,0.0
25473,0.0
13083,0.0
12454,0.0
3500,0.0
15922,0.0
6685,0.0
28838,0.0
24082,1.0
24846,1.0
1020,0.0
6189,0.0
16994,0.0
13135,0.0
14578,1.0
20732,1.0
16496,1.0
16537,0.0
17358,0.0
21933,0.0
7342,0.0
5630,0.0
24152,0.0
17762,1.0
4310,0.0
5142,0.0
22319,1.0
30912,0.0
20976,0.0
13150,0.0
12206,0.0
9407,0.0
13152,0.0
1069,0.0
25418,0.0
22689,0.0
5104,1.0
13994,1.0
27064,0.0
14598,0.0
9571,0.0
30854,0.0
25290,0.0
29640,0.0
17519,0.0
12111,0.0
6085,1.0
27277,0.0
31692,0.0
6052,0.0
18161,0.0
12934,0.0
30400,0.0
26419,0.0
4188,0.0
12117,0.0
28847,0.0
30472,1.0
32534,0.0
22395,1.0
4876,0.0
25182,0.0
26135,1.0
7517,1.0
2793,0.0
25174,0.0
5593,0.0
14003,1.0
33057,1.0
30484,0.0
14688,0.0
25459,0.0
23657,0.0
20322,0.0
22194,0.0
31401,0.0
14914,0.0
20376,1.0
27530,0.0
24701,0.0
6790,0.0
10102,0.0
10338,0.0
15701,0.0
21218,0.0
1586,0.0
9189,0.0
13788,0.0
10752,1.0
28406,0.0
26320,0.0
17460,0.0
18657,1.0
9384,0.0
4269,0.0
14935,0.0
28033,0.0
1568,0.0
15465,0.0
26233,0.0
24729,0.0
29440,1.0
32652,0.0
28556,0.0
12875,1.0
21078,0.0
30331,0.0
5899,0.0
22787,0.0
27435,0.0
2855,0.0
18385,0.0
27866,0.0
7328,1.0
24807,0.0
27113,1.0
6008,0.0
760,0.0
2990,1.0
28229,0.0
4162,0.0
27326,0.0
604,0.0
2194,0.0
21564,1.0
17432,0.0
13952,1.0
1988,0.0
23691,1.0
10481,0.0
8540,0.0
8806,1.0
15468,0.0
32747,0.0
1297,0.0
4075,1.0
12772,0.0
22517,0.0
26388,1.0
30676,0.0
18376,0.0
10970,0.0
29961,0.0
5136,0.0
20369,0.0
23505,0.0
11751,0.0
12038,1.0
28590,0.0
32699,0.0
10370,0.0
4095,0.0
5340,0.0
9217,0.0
15294,1.0
23901,0.0
5673,0.0
25421,0.0
20698,0.0
41,0.0
23636,0.0
9387,0.0
21466,1.0
9515,0.0
20743,1.0
25766,0.0
4626,0.0
4642,0.0
16178,0.0
1829,1.0
2377,0.0
8287,1.0
10529,0.0
30608,0.0
27546,0.0
32324,0.0
8442,0.0
8151,0.0
15796,1.0
9420,0.0
17083,0.0
16414,0.0
32340,0.0
18462,0.0
7996,0.0
30636,1.0
29982,0.0
29217,0.0
18454,0.0
22508,0.0
25969,0.0
28080,0.0
21134,1.0
30925,0.0
29000,0.0
26925,1.0
7696,0.0
25525,0.0
21989,0.0
10984,0.0
26543,0.0
32043,1.0
15343,0.0
30967,1.0
30191,0.0
13537,0.0
23185,0.0
1434,0.0
9600,1.0
25963,0.0
5141,0.0
657,0.0
29991,1.0
18759,0.0
23081,0.0
5731,0.0
20135,0.0
18620,0.0
24226,0.0
10092,0.0
1950,1.0
7909,1.0
11966,0.0
10017,0.0
28391,1.0
361,0.0
20797,0.0
25041,1.0
18476,1.0
26668,0.0
18586,0.0
17783,0.0
13256,1.0
6283,0.0
2586,0.0
15279,0.0
28468,0.0
17941,0.0
23384,0.0
4978,0.0
28641,0.0
28915,0.0
33367,1.0
14999,0.0
3999,0.0
9860,0.0
31153,1.0
26616,0.0
24366,1.0
19986,0.0
17786,0.0
1396,0.0
22954,0.0
14775,0.0
1563,0.0
29612,1.0
23856,0.0
30441,0.0
22742,0.0
30265,1.0
11545,0.0
2404,1.0
7243,0.0
19555,0.0
20486,0.0
17400,0.0
22005,0.0
10612,1.0
23365,1.0
13288,0.0
23430,0.0
30404,1.0
8930,0.0
3920,0.0
29841,1.0
16289,1.0
19889,0.0
11780,1.0
8489,1.0
32581,1.0
22420,0.0
28415,0.0
32260,0.0
21603,0.0
19702,1.0
17665,0.0
19612,1.0
18905,0.0
824,0.0
27275,1.0
14217,0.0
13209,0.0
9414,1.0
33242,0.0
24224,0.0
9684,0.0
8584,0.0
27003,0.0
17840,0.0
29723,0.0
33181,0.0
29288,1.0
3004,0.0
5828,0.0
22211,0.0
28193,0.0
26291,0.0
11739,0.0
20878,0.0
31156,0.0
21878,0.0
7009,0.0
31013,0.0
7145,0.0
2690,0.0
28829,1.0
28477,1.0
17107,0.0
17125,0.0
5911,0.0
24069,0.0
20803,0.0
3752,0.0
32925,0.0
27494,0.0
19818,1.0
22581,1.0
2629,0.0
20143,0.0
2478,1.0
25957,0.0
24981,0.0
27624,0.0
32355,0.0
12140,0.0
9743,1.0
3827,0.0
9338,0.0
10386,0.0
14901,0.0
6909,1.0
20751,0.0
13597,0.0
4498,1.0
29508,0.0
5205,1.0
32947,1.0
4766,0.0
428,0.0
16219,1.0
21843,0.0
17162,1.0
15259,0.0
14487,0.0
8055,0.0
4922,0.0
20653,0.0
707,0.0
1131,0.0
22219,0.0
10454,0.0
14740,1.0
12183,1.0
22052,0.0
8677,0.0
29432,0.0
6812,0.0
14890,0.0
9569,0.0
6389,0.0
14622,1.0
24586,0.0
9463,0.0
